Lat,Lon,Time Range,geartype,Vessel IDs,Apparent Fishing Hours
6,125.1,2020,tuna_purse_seines,1,7.13
19.3,123.1,2020,drifting_longlines,1,2.79
9.2,129.4,2020,drifting_longlines,1,1.37
6.9,125.8,2020,inconclusive,1,2.2
8.9,128.4,2020,drifting_longlines,1,2.19
6.4,125.9,2020,inconclusive,1,0.79
20.4,124.8,2020,drifting_longlines,1,0.51
7.2,125.8,2020,inconclusive,1,1.31
19.5,123.1,2020,drifting_longlines,1,4.03
8.6,129.7,2020,drifting_longlines,1,4.35
21.4,124.4,2020,drifting_longlines,1,19.1
20.9,124.7,2020,drifting_longlines,1,7.68
16.8,118.4,2021,tuna_purse_seines,1,2.51
18.5,118.6,2021,drifting_longlines,1,4.21
21.1,122.8,2021,drifting_longlines,1,3.93
14.4,119.9,2021,tuna_purse_seines,1,2.38
15.6,116.9,2021,inconclusive,1,1.15
21.6,122.2,2021,drifting_longlines,1,0.26
18.1,117.8,2021,drifting_longlines,1,2.27
20.3,125.6,2021,drifting_longlines,1,4.95
18.1,119.7,2021,drifting_longlines,1,1.06
13.6,121.1,2021,inconclusive,1,4.22
18.9,119.7,2021,tuna_purse_seines,1,1.3
14.6,121,2021,inconclusive,1,3261.84
14.6,120.2,2021,tuna_purse_seines,2,11.58
17,118.8,2021,tuna_purse_seines,1,4.1
21.8,123.6,2021,drifting_longlines,1,1.42
18.1,118.2,2021,drifting_longlines,1,0.57
18.9,123.5,2021,drifting_longlines,1,4.34
14.3,120.4,2021,drifting_longlines,4,10.9
21.5,122,2021,drifting_longlines,3,4.63
21.5,121.9,2021,drifting_longlines,2,4.03
7,125.6,2021,drifting_longlines,1,2.45
5.3,125.1,2021,tuna_purse_seines,1,4.09
18.3,118.6,2021,drifting_longlines,1,14.76
14.2,120.1,2021,tuna_purse_seines,2,6.46
21.1,121.2,2021,drifting_longlines,1,0.4
14.5,121,2021,drifting_longlines,1,0.59
13.6,120.9,2021,inconclusive,1,1.06
18.6,118.3,2021,drifting_longlines,1,10.61
13.5,120.1,2021,tuna_purse_seines,1,0.86
15.7,116.9,2021,inconclusive,1,3.05
20.1,122.4,2021,drifting_longlines,1,15.56
20.8,125.5,2021,drifting_longlines,1,20.8
20.5,120.3,2021,drifting_longlines,3,18.36
18,117.9,2021,drifting_longlines,1,9.43
14.4,119.4,2021,tuna_purse_seines,1,1.55
18.5,118.1,2021,drifting_longlines,1,6.9
